surveyid,village,survey_date,femaleres,age,married,children,hhsize,edu,hh_children,cons_nondurable,asset_livestock,asset_durable,asset_phone,asset_savings,asset_land_owned_total,asset_niceroof,cons_allfood,cons_ownfood,cons_alcohol,cons_tobacco,depressed
926,91,23-Nov-61,1,28,1,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
747,57,24-Oct-61,1,23,1,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,1
1190,115,5-Oct-61,1,22,1,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,97,23-Sep-61,1,27,1,2,4,10,2,378.83292,526.67108,196.98904,24.023054,49.647648,0,0,289.17352,36.434967,0,0,0
806,42,12-Sep-61,0,59,0,4,6,10,4,258.67188,8.2606287,173.52654,19.218445,0,0.5,0,173.01099,0.87016839,0,0,0
483,25,8-Sep-61,1,35,1,6,8,10,6,63.790752,359.37466,73.6707,0,0,1.7,0,40.938339,2.2688444,,5.5825005,0
849,130,31-Oct-61,0,34,0,1,3,9,1,60.614365,4.1303144,219.25041,0,0,1,0,48.963181,0.26692283,0,0,1
1386,72,3-Sep-61,1,21,1,2,4,10,2,118.07046,120.13633,203.23505,67.264557,48.046108,0,0,108.56801,6.0991869,0,0,0
930,195,12-Nov-61,1,32,1,7,9,9,7,581.57416,1108.7568,252.24208,24.023054,80.076851,4,0,469.09286,40.572273,0,0,0
390,33,28-Nov-61,1,29,1,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
540,52,26-Oct-61,1,84,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
557,93,15-Sep-60,1,59,0,2,3,9,2,166.89159,101.8915,47.245342,0,0,2,0,120.14005,6.6730709,0,0,0
1280,232,3-Nov-61,1,38,1,4,6,10,4,475.98062,12.390944,191.86414,40.038425,0,2.5,0,367.04941,23.222286,0,0,0
1195,92,18-Sep-61,1,27.5,1,4,6,10,4,351.50916,165.21259,371.55658,40.038425,0,3.5,0,213.6702,32.030739,0,4.8846879,0
603,100,21-Sep-60,1,56,1,0,2,12,0,266.64865,935.96368,211.40288,0,59.25687,2.5,0,154.00722,20.33952,0,0,1
729,54,20-Sep-61,1,24,1,2,5,10,2,222.99231,110.8353,122.19727,19.218445,1.601537,1,0,181.31497,10.143068,0,,0
770,102,29-Oct-61,1,25,1,3,5,10,3,192.28549,37.172832,75.432396,32.030739,8.0076847,0,0,147.93625,10.089684,0,0,0
76,15,28-Nov-61,1,44,1,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0
